UID,Title,Forename,Surname,Email,Status,Alias,FRN,type,Global,UAN
GP9RBH,Mr,IFA,One,simon.preston@aegon-service.co.uk,ACTIVE,GP9RBH,165548,IFA,TRUE,003RGF
GP9TFD,Mr,IFA,Two,simon.preston@aegon-service.co.uk,ACTIVE,GP9TFD,165548,IFA,TRUE,003RGF
GP9L8X,Ms,IFA,Six,terry.crawford@aegon-service.co.uk,ACTIVE,GP9L8X,165548,IFA,TRUE,003RGF
GP9U21,M,Ifa,Fourteen,Tony.Bird@Aegon-Service.co.uk,ACTIVE,GP9U21,165548,IFA,TRUE,003RGF
GP9S1M,Mr,IFA,Three,terry.crawford@Aegon-Service.co.uk,ACTIVE,GP9S1M,165548,IFA,TRUE,003RGF
GP9KED,Ms,IFA,Five,sue.jolly@Aegon-Service.co.uk,ACTIVE,GP9KED,165548,IFA,TRUE,003RGF
GP9KAP,Mr,IFA,Four,terry.crawford@aegon-service.co.uk,ACTIVE,GP9KAP,165548,IFA,TRUE,003RGF
GPVYPK,Mr,Ifa,Nine,sue.jolly@aegon.co.uk,ACTIVE,GPVYPK,165548,IFA,FALSE,003RGF
GQNP1P,Mr,Joe,Bloggs,terry.crawford@aegon-service.co.uk,ACTIVE,JOEAGENCY1,165548,IFA,FALSE,003RGF
PWV53V,Mr,Tony,Bird,terry.crawford@aegon-service.co.uk,ACTIVE,PWV53V,594926,IFA,FALSE,003RGF
1QC1N3,Mrs,Sue,Jolly,sue.jolly@aegon-service.co.uk,ACTIVE,GOCOMP1,594926,IFA,FALSE,003RGF
M6WXDW,Mrs,Caroline,Stainton,terry.crawford@aegon-service.co.uk,ACTIVE,M6WXDW,469385,IFA,FALSE,003RGF
SJOLLY,Mrs,SE,Nineteen,sue.jolly@aegon.co.uk,ACTIVE,SJOLLY,,HOUSER,FALSE,003RGF
HO1USER,Mr,HeadOfficeuser,Twentyone,terry.crawford@Aegon-Service.co.uk,ACTIVE,HO1USER,,HOUSER,FALSE,003RGF
PHIL@SIMPLYAPPED.COM,Mr,Phil,Barr,phil@simplyapped.com,ACTIVE,philuser,799100,IFA,FALSE,003RGF
USERONE,Mr,User,One,terry.crawford@Aegon-Service.co.uk,ACTIVE,userone,594926,HOUSER,TRUE,003RGF
USERTWO,Mr,User,Two,sue.jolly@Aegon-Service.co.uk,ACTIVE,usertwo,165548,IFA,TRUE,003RGF
USERTHREE,Mr,User,Three,terry.crawford@Aegon-Service.co.uk,ACTIVE,userthree,469385,IFA,FALSE,003RGF
USERFOUR,Mr,User,Four,sue.jolly@Aegon-Service.co.uk,ACTIVE,userfour,,IFA,FALSE,
B2VRS7,Mr,IFS Adviser,IndFinSvcsIFAOne,terry.crawford@aegon-service.co.uk,ACTIVE,B2VRS7,149416,IFA,FALSE,485MEX
LANDC1,Mr,ARFRNUser,One,terry.crawford@aegon-service.co.uk,ACTIVE,LANDC1,143002,IFA,FALSE,784TKN
MRMEVQ,Mr,MRMEVQUser,One,terry.crawford@aegon-service.co.uk,ACTIVE,LANDC1,143002,IFA,FALSE,784TKN
DQMTY8,Mr,DQMTY,User,terry.crawford@aegon-service.co.uk,ACTIVE,DQMTY8,165548,IFA,FALSE,260WES
DQMSQE,Mr,DQMSQE,User,terry.crawford@aegon-service.co.uk,ACTIVE,DQMSQE,165548,IFA,FALSE,345FFC
DashbrdStaffID01,Mr,Dash,Staff,terry.crawford@aegon-service.co.uk,ACTIVE,DashbrdStaffID01,594926,HOUSER,FALSE,003RGF
ho3user,Mr,HOTHREE,USER,terry.crawford@aegon-service.co.uk,ACTIVE,ho3user,799100,HOUSER,TRUE,003RGF
ZBV8FD,Mr,ZBV8FD,User,terry.crawford@aegon-service.co.uk,ACTIVE,ZBV8FD,165548,IFA,FALSE,448KEJ
BWV41F,Mr,BWV41F,User,terry.crawford@aegon-service.co.uk,ACTIVE,BWV41F,165548,IFA,FALSE,237KER
5J14WX,Mr,AJFINPlanning,AndJfinPlanning,terry.crawford@aegon-service.co.uk,ACTIVE,5J14WX,150427,IFA,FALSE,237KER
Q89ZSZ,Mr,Q89ZSZ,User,terry.crawford@aegon-service.co.uk,ACTIVE,Q89ZSZ,149416,IFA,TRUE,323ZEA
UZ957Y,Mr,UZ957Y,User,sue.jolly@aegon-service.co.uk,ACTIVE,UZ957Y,150427,IFA,FALSE,464VEA
